After_taken_pixel,CPU,RAM,ROM,S5G,inner_href,name,phone_name,pic,price,resolution
6400万像素,天玑1100,8GB,128GB,支持5G,https://item.jd.com/10033127961433.html,【现货速发】小米Redmi 红米Note10Pro天玑1100 全网通5G电竞游戏智能手机 幻青 【8GB+128GB】,,https://img13.360buyimg.com/n7/jfs/t1/96080/4/24944/138343/6243d253Ed61a2e32/e44d31f6fa436be4.jpg,1489.00,全高清FHD+
6400万像素,骁龙8 Gen 1,12GB,256GB,支持5G,https://item.jd.com/100018688021.html,努比亚Z40Pro,,https://img11.360buyimg.com/n7/jfs/t1/117893/8/22772/249503/6246b6cfE9ff87e3e/64b59a8b3f0b2f31.jpg,3999.00,全高清FHD+
其他,其他,其他,其他,不支持5G,https://item.jd.com/100021373108.html,飞利浦E526,,https://img13.360buyimg.com/n7/jfs/t1/206513/36/12346/136617/61b31f77Ed19fa8ee/54b1eab94fc2510d.jpg,249.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/100009541085.html,未知商品名,,https://img10.360buyimg.com/n7/jfs/t1/136268/7/16490/50563/5fb4ce5fE30ed289c/dfb8882b4dd29865.jpg,5199.00,未知分辨率
6400万像素,骁龙888,8GB,128GB,支持5G,https://item.jd.com/100014395025.html,真我GT,,https://img10.360buyimg.com/n7/jfs/t1/54141/5/16788/130805/613eec58Ef2a67d44/b5e02076aa8f50b0.jpg,2899.00,全高清FHD+
1200万像素,其他,4GB,128GB,支持5G,https://item.jd.com/10026538482860.html,Apple iPhone 12,,https://img10.360buyimg.com/n7/jfs/t1/180068/17/21730/222197/623f1dbfE38f3df43/ba3255a7c6fa0f3d.jpg,5199.00,其他
其他,其他,2GB以下,其他,不支持5G,https://item.jd.com/100018278332.html,天语T15s,,https://img12.360buyimg.com/n7/jfs/t1/185936/25/13689/148401/60ed1153E214bb0ee/235860303baf9518.jpg,219.00,其他
4800万像素,暂无型号,12GB,256GB,支持5G,https://item.jd.com/100018994645.html,vivoiQOO Neo5S,,https://img10.360buyimg.com/n7/jfs/t1/133994/10/23654/197109/62188a6aEce6f0cb0/98cc9f9f194dadca.jpg,3199.00,其他
4800万像素,天玑700,6GB,128GB,支持5G,https://item.jd.com/100011572883.html,中兴ZTE 8030N,,https://img13.360buyimg.com/n7/jfs/t1/127283/32/26350/250565/6245a5e6E04ff60af/aef0b8a26bb61548.jpg,1648.00,全高清FHD+
其他,其他,其他,其他,不支持5G,https://item.jd.com/100021373066.html,飞利浦E526,,https://img11.360buyimg.com/n7/jfs/t1/184388/30/10964/102796/60d46efbE99b1979e/8a720bedfdfd43cd.jpg,249.00,其他
未知后摄像素,暂无型号,未知运行内存,16GB,不支持5G,https://item.jd.com/62062556925.html,【二手9新】小米（MI） 红米4A 安卓智能手机 备用机 老人机 玫瑰金 2G+16G 全网通 玫瑰金 2G+16G（全网通）,,https://img10.360buyimg.com/n7/jfs/t1/124588/1/26251/382803/624870b8E1ad8a1f9/8c7c05048bd690be.png,198.00,未知分辨率
未知后摄像素,暂无型号,其他,128GB,不支持5G,https://item.jd.com/10030567994226.html,纽曼（Newman）X13 Pro智能手机  4G全网通 128G大内存游戏智能手机 双卡双待 尊贵蓝128GB,,https://img11.360buyimg.com/n7/jfs/t1/204953/29/13489/63838/617eca8aE529ff961/4872638e442ca328.jpg,599.00,未知分辨率
4800万像素,其他,6GB,128GB,支持5G,https://item.jd.com/100009828029.html,OPPOK7x,,https://img14.360buyimg.com/n7/jfs/t1/141271/22/14881/70446/5fb4a985E1cce213e/beb55f6d1d3221b5.jpg,1399.00,全高清FHD+
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/100034254474.html,未知商品名,,https://img14.360buyimg.com/n7/jfs/t1/90427/22/25323/99896/6245486aE03605e62/3b8f24993b3f6725.jpg,448.00,未知分辨率
1600万像素,其他,6GB,128GB,支持5G,https://item.jd.com/100011333731.html,OPPOA53,,https://img11.360buyimg.com/n7/jfs/t1/151004/32/11536/108727/5fe0071eE9b1aa15e/50065c156df43e18.jpg,1399.00,其他
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/100017023121.html,OPPOA32,,https://img11.360buyimg.com/n7/jfs/t1/171124/40/26281/131717/61b4783aE32bc2208/468a9a4d3567bc1e.jpg,899.00,其他
6400万像素,其他,12GB,256GB,支持5G,https://item.jd.com/100025021420.html,OPPOReno6,,https://img10.360buyimg.com/n7/jfs/t1/197253/3/2324/92528/61109e7aE2575ebb3/525bbfd3f7c5fa2a.jpg,2569.00,其他
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/100027937482.html,小米Redmi 9A,,https://img12.360buyimg.com/n7/jfs/t1/118064/27/12885/59959/5f17b7efE453f688d/5b33ac76b2aaea9b.jpg,599.00,其他
1300万像素,Unisoc T610,8GB,128GB,不支持5G,https://item.jd.com/100014454221.html,荣耀荣耀Play5T,,https://img11.360buyimg.com/n7/jfs/t1/89303/29/18763/49986/614457d2Ee76fac05/9774fd25f2b3c489.jpg,1018.00,其他
10800万像素,暂无型号,其他,其他,支持5G,https://item.jd.com/100034408360.html,荣耀60,,https://img10.360buyimg.com/n7/jfs/t1/145793/24/22261/224131/61f15dc6E5f10a14a/5efdabc184e4a590.jpg,2699.00,全高清FHD+
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/100032149308.html,未知商品名,,https://img13.360buyimg.com/n7/jfs/t1/151368/25/26062/72758/61e00ce2E04f430f5/a02194229ccf0859.jpg,1099.00,未知分辨率
1600万像素,其他,6GB,128GB,不支持5G,https://item.jd.com/10023275546176.html,索爱（soaiy）S40A,,https://img11.360buyimg.com/n7/jfs/t1/129080/17/15391/86925/5f8d56b9Eebd0e9dc/6b347bcb20991468.jpg,749.00,高清HD+
4000万像素,其他,12GB,512GB,支持5G,https://item.jd.com/61440253344.html,华为（HUAWEI）Mate 30 RS 保时捷版 (5G),,https://img14.360buyimg.com/n7/jfs/t1/70383/16/15058/236680/5dc77853E5d4d7017/088648b38a9367b6.png,9299.00,全高清FHD+
未知后摄像素,暂无型号,8GB,256GB,支持5G,https://item.jd.com/100033147480.html,荣耀荣耀60 SE,,https://img10.360buyimg.com/n7/jfs/t1/148320/4/21749/50980/6205bfafE18d076e2/3d1a03da408f12a0.jpg,2299.00,全高清FHD+
4800万像素,暂无型号,8GB,128GB,支持5G,https://item.jd.com/10045962825240.html,x30 5G手机  X30 店内可选华为手机 骁龙6nm疾速5G芯 66W超级快充 钛空银 8G+128G,,https://img10.360buyimg.com/n7/jfs/t1/119591/40/25760/75180/62317888Efdab218a/25c3f9defd3024c8.jpg,1698.00,高清HD+
10800万像素,骁龙778G,12GB,256GB,支持5G,https://item.jd.com/10032615668881.html,荣耀（HONOR）荣耀50 P,,https://img11.360buyimg.com/n7/jfs/t1/89277/29/24596/192721/623443abEf1f1a63e/a00d015828ad872e.jpg,2719.00,全高清FHD+
6400万像素,麒麟820,8GB,128GB,支持5G,https://item.jd.com/65930404731.html,荣耀（HONOR）荣耀30s（5G）,,https://img11.360buyimg.com/n7/jfs/t1/107064/38/24963/394078/62307cb5Efefc9a21/8ac3c9db064f3022.png,2249.00,其他
其他,其他,6GB,128GB,不支持5G,https://item.jd.com/100012649833.html,荣耀荣耀畅玩20,,https://img13.360buyimg.com/n7/jfs/t1/180809/11/12835/47448/60e3f8cfEd6836d8a/306783411e4b85da.jpg,1099.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10031341225394.html,三星（SAMSUNG）S21 Ultra,,https://img14.360buyimg.com/n7/jfs/t1/149407/18/26899/133188/623be4f1Eb90202b5/502519000a6341a2.jpg,6399.00,未知分辨率
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10040311091263.html,未知商品名,,https://img13.360buyimg.com/n7/jfs/t1/131723/20/22928/297684/621854ffEe3975b8e/edcce35d427f1b11.jpg,1049.00,未知分辨率
5000万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/100016653631.html,一加9 RT,,https://img11.360buyimg.com/n7/jfs/t1/174208/40/21231/74355/6163b0c0Ef2fd8285/1e30859c528fe0c0.jpg,3499.00,其他
5000万像素,骁龙888,12GB,256GB,支持5G,https://item.jd.com/100016653593.html,一加新品,,https://img13.360buyimg.com/n7/jfs/t1/208964/27/6268/70834/61761225E61711624/cf3d45a83c35e5ab.jpg,3499.00,其他
未知后摄像素,骁龙778G,12GB,256GB,支持5G,https://item.jd.com/100016718413.html,荣耀荣耀60,,https://img13.360buyimg.com/n7/jfs/t1/194726/27/22169/132526/624406d2Ee7b4f71b/2b524f0bde9921b6.jpg,3169.00,全高清FHD+
4800万像素,天玑700,8GB,128GB,支持5G,https://item.jd.com/10033965024962.html,OPPOA93s,,https://img12.360buyimg.com/n7/jfs/t1/151028/29/22288/127329/62486c98Efd62b2a7/e4fa8fe637fa4693.jpg,1799.00,全高清FHD+
未知后摄像素,暂无型号,6GB,128GB,不支持5G,https://item.jd.com/100029276668.html,金立Ti13,,https://img13.360buyimg.com/n7/jfs/t1/138786/1/21101/92621/618a3b1eEd6dcfd82/971432320b60e47b.jpg,899.00,其他
6400万像素,骁龙765G,其他,其他,支持5G,https://item.jd.com/65224737677.html,小米（MI）Redmi K30 (5G),,https://img12.360buyimg.com/n7/jfs/t1/95862/8/23976/75682/623bfddcEdcbe07ce/960cd99d8fe3cb65.jpg,1388.00,其他
4800万像素,骁龙778G,8GB,128GB,支持5G,https://item.jd.com/100015540147.html,真我新品,,https://img12.360buyimg.com/n7/jfs/t1/220008/13/819/57621/616cdaa6Ec5525eed/afbc7bee588d0936.jpg,1599.00,全高清FHD+
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/100014382847.html,AppleiPhone 13,,https://img12.360buyimg.com/n7/jfs/t1/204929/33/6686/36377/6141c4b2E80c8118f/eebab678563601c0.jpg,5999.00,其他
未知后摄像素,暂无型号,未知运行内存,32GB,不支持5G,https://item.jd.com/70869015922.html,【二手9成新】荣耀V9 Play 二手手机安卓双卡双待全网通工作机备用老人手机 黑色 4GB+32GB,,https://img12.360buyimg.com/n7/jfs/t1/127479/5/27544/134218/62487f44Ef2e91de9/d20da39094ed2e51.jpg,278.00,未知分辨率
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10039096131224.html,未知商品名,,https://img14.360buyimg.com/n7/jfs/t1/91418/35/20537/125579/61e3cc6cE3e81f26c/5eb19733409f1695.jpg,1249.00,未知分辨率
未知后摄像素,暂无型号,8GB,128GB,不支持5G,https://item.jd.com/10043609670959.html,硕王20220728MT,,https://img14.360buyimg.com/n7/jfs/t1/138501/16/24025/67947/61bd9581E2e4a9658/3f72970e89e8fede.jpg,589.00,其他
未知后摄像素,暂无型号,未知运行内存,未知机身内存,不支持5G,https://item.jd.com/10024190278595.html,APPLEApple iPhone 8 Plus,,https://img10.360buyimg.com/n7/jfs/t1/221952/38/2015/112090/618b2bdcE996b5d3c/fc394f794b2a26bb.jpg,1379.00,未知分辨率
未知后摄像素,暂无型号,未知运行内存,32GB,不支持5G,https://item.jd.com/10022965480846.html,【二手9成新】vivo Y67 5.5英寸大屏手机二手手机 学生机 4G全网通  双卡双待 黑色（颜色随机） 4GB+32GB,,https://img11.360buyimg.com/n7/jfs/t1/197018/12/21823/122556/62489109Ecb02d731/5421e0bcec2db450.jpg,255.00,未知分辨率
6400万像素,骁龙870,8GB,128GB,支持5G,https://item.jd.com/100028583720.html,真我GT Neo2,,https://img10.360buyimg.com/n7/jfs/t1/202002/34/5211/78501/61517c1dEec7d56e6/60790b9937b32d2d.jpg,2499.00,全高清FHD+
6400万像素,天玑1200,12GB,256GB,支持5G,https://item.jd.com/100023064262.html,真我GT Neo 闪速版,,https://img12.360buyimg.com/n7/jfs/t1/187208/18/4782/251677/60ab8e37E7c5ddde7/8218549dfb50e8ef.jpg,2199.00,全高清FHD+
未知后摄像素,暂无型号,8GB,256GB,支持5G,https://item.jd.com/100031948750.html,OPPOA96,,https://img10.360buyimg.com/n7/jfs/t1/215228/14/10889/85531/61e133e2E83778731/18a26131057cbd59.jpg,1949.00,其他
未知后摄像素,暂无型号,其他,128GB,支持5G,https://item.jd.com/100034789582.html,AppleiPhone 13 Pro,,https://img12.360buyimg.com/n7/jfs/t1/168005/10/28128/48848/622867a2Ea9fa07e9/1956d480f9f31e24.jpg,7799.00,其他
